id,pregunta,a,b,c,d,correcta,OA,PAES
historia-01,¿Qué consecuencia se asocia principalmente al proceso histórico 1901?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-02,¿Qué consecuencia se asocia principalmente al proceso histórico 1902?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-03,¿Qué consecuencia se asocia principalmente al proceso histórico 1903?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-04,¿Qué consecuencia se asocia principalmente al proceso histórico 1904?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-05,¿Qué consecuencia se asocia principalmente al proceso histórico 1905?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-06,¿Qué consecuencia se asocia principalmente al proceso histórico 1906?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-07,¿Qué consecuencia se asocia principalmente al proceso histórico 1907?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-08,¿Qué consecuencia se asocia principalmente al proceso histórico 1908?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-09,¿Qué consecuencia se asocia principalmente al proceso histórico 1909?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
historia-10,¿Qué consecuencia se asocia principalmente al proceso histórico 1910?,Continuidad política,Ruptura institucional,Estabilidad económica,Aislamiento cultural,b,Análisis de procesos históricos y ciudadanía,Historia y Cs. Sociales
