id,pregunta,a,b,c,d,correcta,OA,PAES
matematica-01,Sea f(x)=2x+1. ¿Cuál es f(3)?,5,6,7,12,c,Modelación y resolución de problemas,M1/M2
matematica-02,Sea f(x)=2x+2. ¿Cuál es f(3)?,5,6,8,12,c,Modelación y resolución de problemas,M1/M2
matematica-03,Sea f(x)=2x+3. ¿Cuál es f(3)?,5,6,9,12,c,Modelación y resolución de problemas,M1/M2
matematica-04,Sea f(x)=2x+4. ¿Cuál es f(3)?,5,6,10,12,c,Modelación y resolución de problemas,M1/M2
matematica-05,Sea f(x)=2x+5. ¿Cuál es f(3)?,5,6,11,12,c,Modelación y resolución de problemas,M1/M2
matematica-06,Sea f(x)=2x+6. ¿Cuál es f(3)?,5,6,12,12,c,Modelación y resolución de problemas,M1/M2
matematica-07,Sea f(x)=2x+7. ¿Cuál es f(3)?,5,6,13,12,c,Modelación y resolución de problemas,M1/M2
matematica-08,Sea f(x)=2x+8. ¿Cuál es f(3)?,5,6,14,12,c,Modelación y resolución de problemas,M1/M2
matematica-09,Sea f(x)=2x+9. ¿Cuál es f(3)?,5,6,15,12,c,Modelación y resolución de problemas,M1/M2
matematica-10,Sea f(x)=2x+10. ¿Cuál es f(3)?,5,6,16,12,c,Modelación y resolución de problemas,M1/M2
